date,account_id,service,team,env,cost_usd
01-01-2025,1.11111E+11,RDS,Core,prod,120.82
01-01-2025,3.33333E+11,EC2,Web,staging,220.04
01-01-2025,3.33333E+11,EC2,Web,prod,252.52
01-01-2025,1.11111E+11,EC2,Core,prod,385.14
01-01-2025,3.33333E+11,EC2,Web,prod,372.17
01-01-2025,3.33333E+11,Lambda,Data,prod,40.02
02-01-2025,2.22222E+11,EC2,Core,staging,201
02-01-2025,2.22222E+11,RDS,Core,prod,127.15
02-01-2025,2.22222E+11,EC2,Core,prod,394.45
02-01-2025,2.22222E+11,RDS,Web,prod,145.95
02-01-2025,1.11111E+11,EKS,Web,prod,137.16
02-01-2025,2.22222E+11,EC2,Web,prod,452.12
02-01-2025,3.33333E+11,Lambda,Data,prod,17.9
02-01-2025,3.33333E+11,EC2,Core,staging,208.89
02-01-2025,2.22222E+11,EC2,Core,staging,205.83
02-01-2025,2.22222E+11,RDS,Data,prod,181
03-01-2025,1.11111E+11,RDS,Data,prod,98.12
03-01-2025,2.22222E+11,EC2,Web,prod,425.99
03-01-2025,3.33333E+11,S3,Core,prod,71
03-01-2025,2.22222E+11,Lambda,Core,staging,13.58
03-01-2025,1.11111E+11,S3,Core,staging,51.78
03-01-2025,2.22222E+11,RDS,Core,prod,101.89
03-01-2025,3.33333E+11,RDS,Core,staging,63.5
03-01-2025,2.22222E+11,EKS,Core,prod,186.65
04-01-2025,3.33333E+11,Lambda,Web,prod,32.33
04-01-2025,3.33333E+11,EKS,Web,prod,166.62
04-01-2025,1.11111E+11,S3,Web,prod,48.3
04-01-2025,1.11111E+11,EC2,Core,prod,346.67
04-01-2025,3.33333E+11,EKS,Web,prod,150.95
04-01-2025,2.22222E+11,Lambda,Data,prod,24.09
04-01-2025,3.33333E+11,EC2,Web,staging,136.83
05-01-2025,2.22222E+11,RDS,Core,prod,129.57
05-01-2025,1.11111E+11,EKS,Core,dev,59.88
05-01-2025,3.33333E+11,RDS,Web,staging,51.07
05-01-2025,3.33333E+11,EC2,Web,prod,429.95
05-01-2025,3.33333E+11,Lambda,Web,prod,3.18
05-01-2025,2.22222E+11,S3,Web,dev,22.46
05-01-2025,3.33333E+11,EC2,Web,prod,394.07
05-01-2025,1.11111E+11,EC2,Data,dev,107.58
05-01-2025,2.22222E+11,S3,Core,prod,90.04
05-01-2025,3.33333E+11,EC2,Core,staging,198.41
06-01-2025,3.33333E+11,S3,Core,staging,33.32
06-01-2025,3.33333E+11,S3,Data,prod,59.98
06-01-2025,3.33333E+11,EKS,Core,dev,39.47
06-01-2025,3.33333E+11,S3,Web,prod,93.19
06-01-2025,3.33333E+11,RDS,Data,dev,41.2
06-01-2025,2.22222E+11,EC2,Core,prod,353.96
07-01-2025,1.11111E+11,Lambda,Web,prod,-3.45
07-01-2025,1.11111E+11,EC2,Core,staging,142.34
07-01-2025,1.11111E+11,S3,Core,dev,19.15
07-01-2025,2.22222E+11,EC2,Web,prod,367.7
07-01-2025,3.33333E+11,EKS,Core,prod,141.65
07-01-2025,3.33333E+11,Lambda,Web,prod,14.02
07-01-2025,2.22222E+11,EKS,Core,prod,109.29
07-01-2025,3.33333E+11,EKS,Data,prod,169.79
08-01-2025,3.33333E+11,EC2,Web,staging,204.93
08-01-2025,3.33333E+11,EC2,Core,prod,332.78
08-01-2025,2.22222E+11,EC2,Core,prod,380.09
08-01-2025,3.33333E+11,EKS,Core,prod,159.48
08-01-2025,2.22222E+11,EKS,Core,dev,62.31
08-01-2025,1.11111E+11,EKS,Web,prod,110.49
08-01-2025,3.33333E+11,Lambda,Core,dev,19.03
08-01-2025,1.11111E+11,S3,Data,prod,99.56
08-01-2025,1.11111E+11,EKS,Core,prod,199.02
09-01-2025,2.22222E+11,RDS,Data,prod,93.39
09-01-2025,3.33333E+11,Lambda,Web,staging,-0.46
09-01-2025,1.11111E+11,S3,Data,prod,90.93
09-01-2025,1.11111E+11,Lambda,Web,prod,2.17
09-01-2025,3.33333E+11,RDS,Core,prod,136.11
09-01-2025,2.22222E+11,Lambda,Web,prod,68.28
10-01-2025,1.11111E+11,S3,Core,prod,80.37
10-01-2025,3.33333E+11,S3,Data,prod,39.5
10-01-2025,3.33333E+11,S3,Web,prod,60.42
10-01-2025,3.33333E+11,EC2,Data,staging,170.51
10-01-2025,3.33333E+11,Lambda,Data,dev,11.95
10-01-2025,1.11111E+11,RDS,Core,prod,106.96
10-01-2025,1.11111E+11,RDS,Data,prod,65.87
10-01-2025,1.11111E+11,EC2,Data,prod,390.92
10-01-2025,3.33333E+11,EC2,Core,prod,395.68
10-01-2025,3.33333E+11,RDS,Core,dev,22.03
11-01-2025,1.11111E+11,RDS,Data,prod,85.24
11-01-2025,3.33333E+11,RDS,Web,dev,48.59
11-01-2025,3.33333E+11,Lambda,Core,staging,9.47
11-01-2025,3.33333E+11,RDS,Web,prod,151.03
11-01-2025,1.11111E+11,RDS,Core,dev,34.26
11-01-2025,3.33333E+11,Lambda,Core,prod,22.02
12-01-2025,1.11111E+11,RDS,Core,staging,43.37
12-01-2025,2.22222E+11,Lambda,Data,prod,13.6
12-01-2025,1.11111E+11,EC2,Web,prod,476.03
12-01-2025,2.22222E+11,EC2,Core,prod,375.17
12-01-2025,1.11111E+11,RDS,Core,staging,81.35
12-01-2025,3.33333E+11,EKS,Web,prod,142.41
12-01-2025,1.11111E+11,S3,Web,prod,100.86
12-01-2025,2.22222E+11,Lambda,Web,prod,17.04
12-01-2025,1.11111E+11,EC2,Data,prod,311.12
12-01-2025,1.11111E+11,RDS,Core,staging,84.42
13-01-2025,2.22222E+11,Lambda,Data,dev,18.04
13-01-2025,3.33333E+11,S3,Core,staging,21.77
13-01-2025,1.11111E+11,EKS,Core,prod,172.58
13-01-2025,2.22222E+11,EKS,Web,staging,73.59
13-01-2025,1.11111E+11,RDS,Core,staging,76.32
13-01-2025,1.11111E+11,EKS,Core,staging,81.96
14-01-2025,1.11111E+11,EKS,Data,prod,67.6
14-01-2025,1.11111E+11,S3,Core,staging,21.82
14-01-2025,2.22222E+11,RDS,Data,staging,44.15
